01/16/2019 20:13:40 - 1149	M	941,-1,in_sphinx4
01/16/2019 20:14:15 - 1149	M	941,-1,in_sphinx4
01/16/2019 20:14:15 - 1149	M	516,-1,in_sphinx4
01/16/2019 20:14:16 - 1149	M	516,-1,in_sphinx4
01/16/2019 20:14:16 - 1149	M	568,-1,in_sphinx4
01/16/2019 20:14:26 - 1098	M	930,-1,in_sphinx4
01/16/2019 20:14:30 - 1149	M	941,-1,in_sphinx4
01/16/2019 20:14:30 - 1149	M	516,-1,in_sphinx4
01/16/2019 20:14:46 - 1149	M	941,-1,in_sphinx4
01/16/2019 20:14:48 - 1154	M	7110,-1,in_sphinx4
01/16/2019 20:15:55 - 1149	M	941,-1,in_sphinx4
01/16/2019 20:15:57 - 1154	M	7110,-1,in_sphinx4
01/16/2019 20:16:09 - 1149	M	941,-1,in_sphinx4
01/16/2019 20:16:14 - 1149	M	941,-1,in_sphinx4
01/16/2019 20:16:38 - 150000	A	4305,1,in_sphinx4
01/16/2019 20:16:40 - 150000	A	4305,1,in_sphinx4
01/16/2019 20:16:58 - 150000	A	4305,1,in_sphinx4
01/16/2019 20:17:10 - 1098	M	930,-1,in_sphinx4
01/16/2019 20:17:29 - 150000	A	13035,1,in_sphinx4
01/16/2019 20:17:30 - 150000	A	13035,1,in_sphinx4
01/16/2019 20:18:11 - 1149	M	941,-1,in_sphinx4
01/16/2019 20:18:11 - 1149	M	516,-1,in_sphinx4
01/16/2019 20:18:15 - 1154	M	7110,-1,in_sphinx4
01/25/2019 22:50:29 - 150000	A	25010,1,payon
01/25/2019 22:51:40 - 1833	M	7122,-1,thor_v01
02/23/2019 23:00:09 - 1002	M	909,-1,prt_fild06
02/23/2019 23:00:43 - 1063	M	705,-1,prt_fild06
02/23/2019 23:02:47 - 1063	M	949,-1,prt_fild06
02/23/2019 23:03:06 - 1002	M	909,-1,prt_fild06
02/23/2019 23:03:08 - 1008	M	915,-1,prt_fild06
02/23/2019 23:03:11 - 1008	M	915,-1,prt_fild06
02/23/2019 23:03:19 - 1063	M	705,-1,prt_fild06
02/23/2019 23:03:19 - 1063	M	512,-1,prt_fild06
02/23/2019 23:03:26 - 1063	M	705,-1,prt_fild06
02/23/2019 23:06:24 - 1008	M	915,-1,prt_fild06
02/23/2019 23:06:24 - 1008	M	935,-1,prt_fild06
02/23/2019 23:06:32 - 1063	M	705,-1,prt_fild06
02/23/2019 23:06:32 - 1063	M	512,-1,prt_fild06
02/23/2019 23:06:32 - 1063	M	515,-1,prt_fild06
02/23/2019 23:06:33 - 1051	L	512,1,0,0,0,0,0,prt_fild06
02/23/2019 23:06:33 - 1051	L	515,1,0,0,0,0,0,prt_fild06
02/23/2019 23:06:34 - 1051	L	705,1,0,0,0,0,0,prt_fild06
02/23/2019 23:06:34 - 1051	M	955,-1,prt_fild06
02/23/2019 23:06:34 - 1051	M	507,-1,prt_fild06
02/23/2019 23:06:34 - 1051	L	512,-1,0,0,0,0,0,prt_fild06
02/23/2019 23:06:34 - 1051	L	515,-1,0,0,0,0,0,prt_fild06
02/23/2019 23:06:34 - 1051	L	705,-1,0,0,0,0,0,prt_fild06
02/23/2019 23:06:43 - 150004	P	515,1,0,0,0,0,0,prt_fild06
02/23/2019 23:07:06 - 1002	M	909,-1,prt_fild06
02/23/2019 23:07:06 - 1002	M	938,-1,prt_fild06
02/23/2019 23:08:15 - 1063	M	705,-1,prt_fild06
